prime	target	ITI	mask	morph_trig	cresp	audio	audio_trig	prime_trig
binder	flex	100	MWVVWJKM	156	5, 7	ust	212	201
shyness	golf	500	JXJWBCBW	157	5, 7	ex	212	201
pompous	herb	100	ZFTWGKDQ	158	5, 7	eek	212	201
voltage	hot	200	FRDQRXSF	159	6, 8	ott	210	201
roller	kill	200	NXVFQQYG	160	6, 8	ill	210	201
actor	leak	400	PJBPPSPQ	161	6, 8	eek	210	201
herbal	mile	300	DWDYTWTJ	162	6, 8	aisle	210	201
bomber	mow	200	FQSTXHZC	163	6, 8	oh	210	201
verbal	pack	400	DXZFYHFQ	164	6, 8	ack	210	201
warmth	pomp	300	JCBBGFYC	165	6, 8	omp	210	201
mower	rent	400	BQHQYHQX	166	6, 8	ent	210	201
childish	roll	400	WMYZGTKN	167	5, 7	ell	211	201
hotly	rust	100	GNCGCJQD	168	5, 7	owst	211	201
rusty	shy	400	FGKLVBMX	169	5, 7	ow	211	201
package	soft	500	QZVRMRMY	170	5, 7	ift	211	201
brewery	vast	500	HHDHCHDD	171	5, 7	ost	211	201
flexible	verb	500	HKSWZZWN	172	5, 7	orb	211	201
mileage	volt	100	JRJCHFSC	173	5, 7	ult	211	201
renter	warm	100	VSPYQKVY	174	5, 7	arm	211	201
backer	back	100	XDDFVDTN	175	5, 7	ail	212	200
boldness	bold	400	KHFVKGVC	176	5, 7	ass	212	200
boxer	box	400	WMYHFWVM	177	5, 7	ack	212	200
bumper	bump	400	HGCTTLWG	178	5, 7	eed	212	200
editor	edit	200	GPSYGCZL	179	5, 7	ing	212	200
glumly	glum	400	ZPQKJNPX	180	5, 7	oh	212	200
grower	grow	400	JSPZCYHK	181	5, 7	oh	212	200
holder	hold	100	FGXSGJXV	182	5, 7	old	212	200
hunter	hunt	400	JXGVVYYQ	183	6, 8	unt	210	200
leader	lead	500	CPBCTXVG	184	6, 8	eed	210	200
mockery	mock	500	VVXXWPSZ	185	6, 8	ock	210	200
mutely	mute	500	WWBZNBHS	186	6, 8	yoot	210	200
painter	paint	100	XWZGBCMB	187	6, 8	aint	210	200
passage	pass	100	HJHHCXKV	188	6, 8	ass	210	200
rainy	rain	100	HHXFVFHH	189	6, 8	ane	210	200
risky	risk	400	FHZPDDXH	190	6, 8	isk	210	200
rower	row	400	JZYPQJKZ	191	5, 7	ee	211	200
sailor	sail	400	CJVMHMGV	192	5, 7	aisle	211	200
singer	sing	200	ZVTCXDKQ	193	5, 7	ang	211	200
talker	talk	100	MJCHFXXM	194	5, 7	eek	211	200
vendor	vend	500	SSTZJSQZ	195	5, 7	ind	211	200
viewer	view	300	NLSZTDZH	196	5, 7	oh	211	200
walker	walk	200	ZXYBHVCD	197	5, 7	ack	211	200
wattage	watt	400	NFQFSCFP	198	5, 7	oot	211	200
